country,region,market,commodity,price_type,date,price,year,month
Ethiopia,Afar,Abaala,Barley,Retail,2020-01-15,1000.0,2020,1
Ethiopia,Afar,Abaala,Barley,Retail,2020-02-15,1000.0,2020,2
Ethiopia,Afar,Abaala,Barley,Retail,2023-08-15,9000.0,2023,8
Ethiopia,Afar,Abaala,Butter (cow milk),Retail,2026-01-15,1500.0,2026,1
Ethiopia,Afar,Abaala,Butter (goat milk),Retail,2026-01-15,900.0,2026,1
Ethiopia,Afar,Abaala,Garlic,Retail,2024-05-15,250.0,2024,5
Ethiopia,Afar,Abaala,Garlic,Retail,2026-01-15,400.0,2026,1
Ethiopia,Afar,Abaala,Lentils,Retail,2014-01-15,28.0,2014,1
Ethiopia,Afar,Abaala,Lentils,Retail,2014-04-15,11.0,2014,4
Ethiopia,Afar,Abaala,Lentils,Retail,2020-01-15,5600.0,2020,1
Ethiopia,Afar,Abaala,Lentils,Retail,2020-02-15,5600.0,2020,2
Ethiopia,Afar,Abaala,Lentils,Retail,2023-02-15,115.0,2023,2
Ethiopia,Afar,Abaala,Lentils,Retail,2023-08-15,10000.0,2023,8
Ethiopia,Afar,Abaala,Lentils,Retail,2024-05-15,20000.0,2024,5
Ethiopia,Afar,Abaala,Lentils,Retail,2024-06-15,12000.0,2024,6
Ethiopia,Afar,Abaala,Lentils,Retail,2024-07-15,15000.0,2024,7
Ethiopia,Afar,Abaala,Lentils,Retail,2024-08-15,16000.0,2024,8
Ethiopia,Afar,Abaala,Lentils,Retail,2024-09-15,17000.0,2024,9
Ethiopia,Afar,Abaala,Lentils,Retail,2024-10-15,24000.0,2024,10
Ethiopia,Afar,Abaala,Lentils,Retail,2025-01-15,28000.0,2025,1
Ethiopia,Afar,Abaala,Lentils,Retail,2025-02-15,28000.0,2025,2
Ethiopia,Afar,Abaala,Lentils,Retail,2025-03-15,30000.0,2025,3
Ethiopia,Afar,Abaala,Lentils,Retail,2025-05-15,35000.0,2025,5
Ethiopia,Afar,Abaala,Lentils,Retail,2025-06-15,35000.0,2025,6
Ethiopia,Afar,Abaala,Lentils,Retail,2025-07-15,34500.0,2025,7
Ethiopia,Afar,Abaala,Lentils,Retail,2025-08-15,33500.0,2025,8
Ethiopia,Afar,Abaala,Lentils,Retail,2025-09-15,33500.0,2025,9
Ethiopia,Afar,Abaala,Lentils,Retail,2025-10-15,35000.0,2025,10
Ethiopia,Afar,Abaala,Lentils,Retail,2025-11-15,35000.0,2025,11
Ethiopia,Afar,Abaala,Lentils,Retail,2025-12-15,28000.0,2025,12
Ethiopia,Afar,Abaala,Lentils,Retail,2026-01-15,35000.0,2026,1
Ethiopia,Afar,Abaala,Lentils,Retail,2026-02-15,28091.6563,2026,2
Ethiopia,Afar,Abaala,Lentils,Retail,2026-03-15,28161.6387,2026,3
Ethiopia,Afar,Abaala,Lentils,Retail,2026-04-15,28233.1133,2026,4
Ethiopia,Afar,Abaala,Lentils,Retail,2026-05-15,28304.9023,2026,5
Ethiopia,Afar,Abaala,Lentils,Retail,2026-06-15,28376.7559,2026,6
Ethiopia,Afar,Abaala,Lentils,Retail,2026-07-15,28448.6211,2026,7
Ethiopia,Afar,Abaala,Livestock (camel),Retail,2024-05-15,60000.0,2024,5
Ethiopia,Afar,Abaala,Livestock (camel),Retail,2024-06-15,58000.0,2024,6
Ethiopia,Afar,Abaala,Livestock (camel),Retail,2025-01-15,60000.0,2025,1
Ethiopia,Afar,Abaala,Livestock (camel),Retail,2025-02-15,58000.0,2025,2
Ethiopia,Afar,Abaala,Livestock (camel),Retail,2025-03-15,62000.0,2025,3
Ethiopia,Afar,Abaala,Livestock (camel),Retail,2025-05-15,48000.0,2025,5
Ethiopia,Afar,Abaala,Livestock (camel),Retail,2025-06-15,50000.0,2025,6
Ethiopia,Afar,Abaala,Livestock (camel),Retail,2025-12-15,80000.0,2025,12
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2020-01-15,13750.0,2020,1
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2020-02-15,13700.0,2020,2
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2023-08-15,22000.0,2023,8
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2024-05-15,37000.0,2024,5
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2024-06-15,50000.0,2024,6
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2025-01-15,40000.0,2025,1
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2025-02-15,40000.0,2025,2
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2025-03-15,40000.0,2025,3
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2025-05-15,40000.0,2025,5
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2025-06-15,40000.0,2025,6
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2025-09-15,70000.0,2025,9
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2025-10-15,60000.0,2025,10
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2025-11-15,70000.0,2025,11
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2025-12-15,45000.0,2025,12
Ethiopia,Afar,Abaala,Livestock (cattle),Retail,2026-01-15,65000.0,2026,1
Ethiopia,Afar,Abaala,Livestock (donkey),Retail,2020-01-15,3970.0,2020,1
Ethiopia,Afar,Abaala,Livestock (donkey),Retail,2020-02-15,4200.0,2020,2
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2020-01-15,1940.0,2020,1
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2020-02-15,1875.0,2020,2
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2023-02-15,2100.0,2023,2
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2023-08-15,4500.0,2023,8
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2024-05-15,7000.0,2024,5
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2024-06-15,4500.0,2024,6
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2024-07-15,4200.0,2024,7
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2024-08-15,5000.0,2024,8
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2024-09-15,4500.0,2024,9
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2024-10-15,5500.0,2024,10
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2025-01-15,6500.0,2025,1
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2025-02-15,6800.0,2025,2
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2025-03-15,7000.0,2025,3
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2025-05-15,5500.0,2025,5
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2025-06-15,6500.0,2025,6
Ethiopia,Afar,Abaala,Livestock (Goat),Retail,2025-07-15,8000.0,2025,7
